"","lon","lat","anom"
"180",177.5,-77.5,NA
"181",182.5,-77.5,0.769999980926514
"182",187.5,-77.5,NA
"183",192.5,-77.5,NA
"184",197.5,-77.5,NA
"185",202.5,-77.5,NA
"186",207.5,-77.5,NA
"187",212.5,-77.5,NA
"188",217.5,-77.5,NA
"189",222.5,-77.5,NA
"190",227.5,-77.5,NA
"191",232.5,-77.5,NA
"192",237.5,-77.5,NA
"193",242.5,-77.5,NA
"194",247.5,-77.5,NA
"195",252.5,-77.5,NA
"196",257.5,-77.5,NA
"197",262.5,-77.5,NA
"198",267.5,-77.5,NA
"199",272.5,-77.5,NA
"200",277.5,-77.5,NA
"201",282.5,-77.5,NA
"202",287.5,-77.5,NA
"203",292.5,-77.5,NA
"204",297.5,-77.5,NA
"205",302.5,-77.5,2.77999997138977
"206",307.5,-77.5,NA
"207",312.5,-77.5,NA
"208",317.5,-77.5,NA
"209",322.5,-77.5,NA
"210",327.5,-77.5,1.57000005245209
"211",332.5,-77.5,0.939999997615814
"212",337.5,-77.5,NA
"213",342.5,-77.5,NA
"214",347.5,-77.5,NA
"215",352.5,-77.5,NA
"216",357.5,-77.5,0.970000028610229
"217",2.5,-72.5,-0.0900000035762787
"218",7.5,-72.5,NA
"219",12.5,-72.5,0.300000011920929
"220",17.5,-72.5,NA
"221",22.5,-72.5,NA
"222",27.5,-72.5,NA
"223",32.5,-72.5,NA
"224",37.5,-72.5,NA
"225",42.5,-72.5,1.85000002384186
"226",47.5,-72.5,NA
"227",52.5,-72.5,NA
"228",57.5,-72.5,NA
"229",62.5,-72.5,NA
"230",67.5,-72.5,0.509999990463257
"231",72.5,-72.5,NA
"232",77.5,-72.5,NA
"233",82.5,-72.5,NA
"234",87.5,-72.5,NA
"235",92.5,-72.5,NA
"236",97.5,-72.5,NA
"237",102.5,-72.5,NA
"238",107.5,-72.5,NA
"239",112.5,-72.5,NA
"240",117.5,-72.5,NA
"241",122.5,-72.5,NA
"242",127.5,-72.5,NA
"243",132.5,-72.5,NA
"244",137.5,-72.5,NA
"245",142.5,-72.5,NA
"246",147.5,-72.5,NA
"247",152.5,-72.5,NA
"248",157.5,-72.5,NA
"249",162.5,-72.5,0.939999997615814
"250",167.5,-72.5,0.129999995231628
"251",172.5,-72.5,-0.324097812175751
"252",177.5,-72.5,-0.422858357429504
"253",182.5,-72.5,-0.546217143535614
"254",187.5,-72.5,NA
"255",192.5,-72.5,NA
"256",197.5,-72.5,NA
"257",202.5,-72.5,NA
"258",207.5,-72.5,-0.521666407585144
"259",212.5,-72.5,-0.469815611839294
"260",217.5,-72.5,-0.393403232097626
"261",222.5,-72.5,NA
"262",227.5,-72.5,NA
"263",232.5,-72.5,NA
"264",237.5,-72.5,NA
"265",242.5,-72.5,-0.561997294425964
"266",247.5,-72.5,NA
"267",252.5,-72.5,NA
"268",257.5,-72.5,-0.462086737155914
"269",262.5,-72.5,NA
"270",267.5,-72.5,NA
"271",272.5,-72.5,NA
"272",277.5,-72.5,NA
"273",282.5,-72.5,NA
"274",287.5,-72.5,0.46000000834465
