"Pressure","Temperature","Salinity"
1,3.73499989509583,34.2540016174316
2,3.73799991607666,34.2599983215332
3,3.73900008201599,34.2610015869141
4,3.7409999370575,34.2669982910156
5,3.73600006103516,34.2589988708496
6,3.73699998855591,34.2599983215332
7,3.73600006103516,34.2569999694824
8,3.74200010299683,34.2709999084473
9,3.73600006103516,34.257999420166
10,3.73799991607666,34.2560005187988
11,3.78299999237061,34.3580017089844
12,3.83299994468689,34.5229988098145
13,3.83800005912781,34.5629997253418
14,3.83699989318848,34.568000793457
15,3.82999992370605,34.648998260498
16,3.80599999427795,34.757999420166
17,3.79200005531311,34.7779998779297
18,3.78999996185303,34.7869987487793
19,3.81399989128113,34.8120002746582
20,3.84599995613098,34.8199996948242
21,3.85800004005432,34.8600006103516
22,3.83299994468689,34.8650016784668
23,3.81500005722046,34.8660011291504
24,3.81699991226196,34.8699989318848
25,3.81399989128113,34.8769989013672
26,3.81200003623962,34.8790016174316
27,3.79200005531311,34.8790016174316
28,3.70900011062622,34.875
29,3.7039999961853,34.8769989013672
30,3.64199995994568,34.8759994506836
31,3.58200001716614,34.8730010986328
32,3.5460000038147,34.875
33,3.51200008392334,34.8839988708496
34,3.48399996757507,34.8899993896484
35,3.36800003051758,34.8880004882812
36,3.29699993133545,34.8849983215332
37,3.16499996185303,34.8839988708496
38,3.10599994659424,34.882999420166
39,3.09400010108948,34.8849983215332
40,3.09400010108948,34.8899993896484
41,3.10199999809265,34.898998260498
42,3.0789999961853,34.9020004272461
43,3.09400010108948,34.9070014953613
44,3.07599997520447,34.9099998474121
45,3.03500008583069,34.9140014648438
46,3.0090000629425,34.9160003662109
47,2.99200010299683,34.9169998168945
48,2.98099994659424,34.9189987182617
49,2.9539999961853,34.9199981689453
50,2.93300008773804,34.9220008850098
51,2.90300011634827,34.9230003356934
52,2.87400007247925,34.9249992370605
53,2.84999990463257,34.9259986877441
54,2.82399988174438,34.9259986877441
55,2.80100011825562,34.9269981384277
56,2.78699994087219,34.9280014038086
57,2.76399993896484,34.9290008544922
58,2.71300005912781,34.9300003051758
59,2.71099996566772,34.9309997558594
60,2.70499992370605,34.9309997558594
61,2.70099997520447,34.931999206543
62,2.69600009918213,34.9329986572266
63,2.68199992179871,34.931999206543
64,2.66499996185303,34.931999206543
65,2.65100002288818,34.931999206543
66,2.6470000743866,34.9309997558594
67,2.64199995994568,34.9309997558594
68,2.63499999046326,34.9300003051758
69,2.62400007247925,34.9300003051758
70,2.58800005912781,34.9300003051758
71,2.60400009155273,34.9329986572266
72,2.60800004005432,34.9339981079102
73,2.59299993515015,34.9339981079102
74,2.50699996948242,34.9269981384277
75,2.47199988365173,34.923999786377
76,2.46799993515015,34.9249992370605
77,2.46000003814697,34.9249992370605
78,2.45300006866455,34.9249992370605
79,2.44099998474121,34.9269981384277
80,2.4300000667572,34.9300003051758
81,2.43099999427795,34.931999206543
82,2.4300000667572,34.931999206543
83,2.43099999427795,34.9329986572266
84,2.43300008773804,34.9329986572266
85,2.4300000667572,34.9339981079102
86,2.41700005531311,34.9339981079102
87,2.39400005340576,34.9329986572266
88,2.38199996948242,34.9339981079102
89,2.36100006103516,34.9339981079102
90,2.33500003814697,34.9339981079102
91,2.3199999332428,34.9329986572266
92,2.30299997329712,34.931999206543
93,2.27500009536743,34.9300003051758
94,2.26699995994568,34.9300003051758
95,2.26300001144409,34.9300003051758
96,2.27699995040894,34.9339981079102
97,2.26999998092651,34.9339981079102
98,2.26500010490417,34.9339981079102
99,2.26200008392334,34.9339981079102
100,2.25600004196167,34.9339981079102
101,2.2409999370575,34.9339981079102
102,2.21600008010864,34.931999206543
103,2.20099997520447,34.9309997558594
104,2.19099998474121,34.9300003051758
105,2.17600011825562,34.9290008544922
